Mito,       40, 47629, 2016-01-01, 1461
Chichibu,   43, 47641, 2016-01-01, 1461
Koufu,      49, 47638, 2016-01-01, 1461
Nagoya,     51, 47636, 2016-01-01, 1461
Nagano,     48, 47610, 2016-01-01, 1461
Utsunomiya, 41, 47615, 2016-01-01, 1461
Maebashi,   42, 47624, 2016-01-01, 1461
Chiba,      45, 47682, 2016-01-01, 1461
Tokyo,      44, 47662, 2016-01-01, 1461
Yokohama,   46, 47670, 2016-01-01, 1461
Shizuoka,   50, 47656, 2016-01-01, 1461
Gifu,       52, 47632, 2016-01-01, 1461
Niigata,    54, 47604, 2016-01-01, 1461
Toyama,     55, 47607, 2016-01-01, 1461
Kanazawa,   56, 47605, 2016-01-01, 1461
Fukui,      57, 47616, 2016-01-01, 1461
Tsu,        53, 47651, 2016-01-01, 1461
Hikone,     60, 47761, 2016-01-01, 1461
Ohsaka,     62, 47772, 2016-01-01, 1461
